City,Country Code,Lat [deg],Long [deg],Temperature [F],Humidity [%],Cloudiness [%],Wind Speed [mph]
rikitea,pf,-23.12,-134.97,77.036,76,19,4.69
busselton,au,-33.65,115.33,81.428,29,100,7.54
punta arenas,cl,-53.15,-70.92,50,66,78,8.7
ushuaia,ar,-54.8,-68.3,53.6,91,40,6.2
hobart,au,-42.88,147.33,59.486,47,75,6.2
port alfred,za,-33.59,26.89,64.994,98,1,2.24
bredasdorp,za,-34.53,20.04,57.2,87,28,0.5
vaini,to,-21.2,-175.2,75.2,100,90,8.2
east london,za,-33.02,27.91,69.8,94,12,4.1
albany,au,42.6,-73.97,37.796,55,1,7.7
mataura,pf,-46.19,168.86,61.412,76,6,2.09
new norfolk,au,-42.78,147.06,59.36,47,75,6.2
hermanus,za,-34.42,19.23,59,94,8,1.79
port elizabeth,za,-33.92,25.57,62.6,100,90,6.2
cape town,za,-33.93,18.42,59.324,93,75,4.1
bluff,nz,-46.6,168.33,58.748,67,53,2.77
kruisfontein,za,-34,24.73,67.334,82,7,3.65
avarua,ck,-21.21,-159.78,84.2,70,4,1.5
kaitangata,nz,-46.28,169.85,55.346,85,10,4.27
chuy,uy,-33.7,-53.46,70.232,88,0,4.06
saint-philippe,re,-21.36,55.77,77.954,83,75,6.2
mar del plata,ar,-38,-57.56,68.306,83,21,5.1
cidreira,br,-30.18,-50.21,74.876,89,0,9.25
castro,cl,-24.79,-50.01,56.948,90,67,1.78
mahebourg,mu,-20.41,57.7,80.618,94,75,1
tuatapere,nz,-46.13,167.68,60.602,67,84,0.7
dunedin,nz,-45.87,170.5,64.004,67,8,4.02
arraial do cabo,br,-22.97,-42.03,77.09,85,0,4.46
rio gallegos,ar,-51.62,-69.22,46.4,81,49,2.6
mount gambier,au,-37.83,140.77,64.4,42,35,8.2
coihaique,cl,-45.58,-72.07,48.2,70,4,1
portland,au,45.52,-122.68,37.418,80,90,1.54
rawson,ar,-43.3,-65.1,63.014,54,42,16.47
milton,nz,34.13,-84.3,59.81,82,75,1.48
esperance,au,-33.87,121.9,71.6,68,90,6.2
waipawa,nz,-41.41,175.52,66.506,40,0,6.7
ranfurly,nz,-45.13,170.1,64.004,67,0,0.89
viedma,ar,-40.81,-63,62.348,42,0,10.53
port lincoln,au,-34.73,135.87,63.374,60,56,8.22
saldanha,za,-33.01,17.94,62.6,88,33,2.6
comodoro rivadavia,ar,-45.87,-67.5,64.4,59,75,5.1
laguna,br,38.42,-121.42,52.988,66,75,8.2
margate,za,51.38,1.39,44.762,87,40,4.6
ancud,cl,-41.87,-73.82,44.6,100,7,1.36
batemans bay,au,-35.72,150.18,60.548,57,92,4.02
rio grande,br,-32.03,-52.1,71.996,91,1,6.15
lebu,cl,-37.62,-73.65,47.192,93,4,2.1
nelson bay,au,-32.72,152.15,61.592,93,90,9.8
souillac,mu,-20.52,57.52,80.618,94,75,1
knysna,za,-34.04,23.05,66.2,93,40,3.1
kyabram,au,-36.32,145.05,68.018,22,0,0.45
jamestown,sh,42.1,-79.24,34.484,69,1,6.2
avera,pf,33.19,-82.53,66.56,82,90,1.5
tairua,nz,-37.02,175.85,69.998,61,0,2.24
whitianga,nz,-36.83,175.7,73.994,62,20,1.79
lincoln,ar,40.8,-96.67,33.71,95,90,4.6
ahipara,nz,-35.17,173.17,68.612,69,77,2.35
bambous virieux,mu,-20.34,57.76,80.708,94,75,1
carnarvon,au,-24.87,113.63,84.2,70,0,5.7
flinders,au,-34.58,150.86,57.722,63,90,6.2
sawtell,au,-30.38,153.1,77.09,50,0,5.7
luderitz,na,-26.65,15.16,64.4,82,0,5.1
palmares do sul,br,-30.26,-50.51,72.392,91,0,4.39
middelburg,za,-25.78,29.46,65.588,55,56,0.36
broken hill,au,-31.95,141.43,69.8,22,0,9.8
gunnedah,au,-30.98,150.25,78.8,39,90,3.6
bella union,uy,-30.28,-57.6,80.87,42,0,4.05
coquimbo,cl,-29.95,-71.34,60.8,93,20,2.1
geraldton,au,-28.77,114.6,87.89,43,90,4.6
inhambane,mz,-23.86,35.38,75.2,94,40,1.81
tupancireta,br,-29.08,-53.84,71.474,66,0,4.37
vallenar,cl,-28.57,-70.76,60.098,76,100,0.72
warwick,au,41.7,-71.42,43.088,42,1,8.2
alice springs,au,-23.7,133.88,91.4,22,2,6.2
russell,nz,32.35,-85.2,63.914,88,1,3.6
yulara,au,-25.24,130.99,96.8,16,0,5.1
diego de almagro,cl,-26.37,-70.05,59.918,62,100,1.26
beloha,mg,-25.17,45.05,81.194,58,48,5.19
maputo,mz,-25.97,32.59,76.1,88,40,2.1
walvis bay,na,-22.96,14.51,59.72,100,0,1.5
bengkulu,id,-3.8,102.27,85.784,73,100,2.77
xai-xai,mz,-25.05,33.64,79.052,71,0,1.64
maryborough,au,-25.53,152.7,78.926,55,1,4.63
laranjeiras do sul,br,-25.41,-52.42,66.524,69,51,2.39
aregua,py,-25.31,-57.38,86,58,0,2.1
noumea,nc,-22.28,166.46,87.8,70,75,2.1
taltal,cl,-25.4,-70.48,59.45,90,75,0.77
roebourne,au,-20.78,117.13,98.564,27,15,3.37
aranos,na,-24.13,19.12,70.628,20,3,1.77
ellisras,za,-23.66,27.74,76.082,56,0,3.3
mount isa,au,-20.73,139.5,91.4,22,0,6.2
caraguatatuba,br,-23.63,-45.49,69.8,83,20,1
saint-leu,re,-21.15,55.28,77.918,83,75,6.2
antofagasta,cl,-23.65,-70.4,64.4,88,75,4.1
tartagal,ar,-22.52,-63.8,76.982,66,100,1.18
isangel,vu,-19.55,169.27,91.4,63,75,5.1
georgetown,sh,5.41,100.34,90.284,66,20,2.6
port hedland,au,-20.32,118.57,95,41,9,2.6
gobabis,na,-22.45,18.97,62.6,88,34,1.5
bataipora,br,-22.3,-53.27,70.646,85,23,0.95
alofi,nu,-19.06,-169.92,80.6,88,100,2.1
bourail,nc,-21.57,165.48,80.726,78,100,2.55
okakarara,na,-20.58,17.43,69.116,41,13,1.51
henties bay,na,-22.12,14.28,60.998,96,0,0.38
puerto ayora,ec,-0.74,-90.35,78.008,84,62,0.89
broome,au,42.25,-75.83,36.14,59,90,6.2
caravelas,br,-17.71,-39.25,79.628,75,61,1.47
pedregulho,br,-20.26,-47.48,64.706,94,0,3.22
tautira,pf,-17.73,-149.15,86.936,70,20,5.1
namibe,ao,-15.2,12.15,75.614,72,92,2.31
toamasina,mg,-18.17,49.38,75.2,94,75,6.2
pompeu,br,-19.22,-44.94,67.64,94,74,2.6
pisco,pe,-13.7,-76.22,73.22,78,73,1
san jose,bo,37.34,-121.89,52.268,66,1,3.07
quatre cocos,mu,-20.21,57.76,80.852,94,75,1
arica,cl,-18.48,-70.3,71.762,69,100,1
poum,nc,-20.23,164.02,82.688,77,98,4.19
shakawe,bw,-18.37,21.85,71.456,79,44,1.73
saint-denis,re,48.92,2.33,42.98,70,90,2.6
rundu,na,-17.93,19.77,69.242,82,75,2.54
aguas formosas,br,-17.08,-40.94,65.876,99,8,0.59
mutoko,zw,-17.4,32.23,71.078,74,7,0.16
vaitape,pf,-16.52,-151.75,83.102,79,89,7.16
torata,pe,-17.08,-70.84,59.612,85,100,1.37
kariba,zw,-16.52,28.8,72.914,80,58,1.02
soanierana ivongo,mg,-16.92,49.58,79.088,80,100,5.3
maceio,br,-9.67,-35.74,77,94,75,1.5
alyangula,au,-13.85,136.42,93.2,59,40,3.1
san miguel,bo,13.48,-88.18,74.066,79,57,0.42
cap malheureux,mu,-19.98,57.61,81.158,94,75,1
san matias,bo,-16.37,-58.4,77.144,83,1,1.83
karratha,au,-20.74,116.85,83.264,74,28,6.47
grand gaube,mu,-20.01,57.66,81.086,94,75,1
antsohihy,mg,-14.88,47.99,79.304,80,100,1.16
hithadhoo,mv,-0.6,73.08,83.804,57,14,2.41
belmonte,br,-15.86,-38.88,75.2,88,40,1.5
niquelandia,br,-14.47,-48.46,68,95,23,1.39
luganville,vu,-15.53,167.17,84.2,79,75,3.1
mozarlandia,br,-14.74,-50.57,73.598,88,53,1.6
pontes e lacerda,br,-15.23,-59.34,73.958,89,95,0.99
boyolangu,id,-8.12,111.89,87.62,67,25,3.89
antalaha,mg,-14.9,50.28,81.05,84,100,12.37
sola,vu,-13.88,167.55,84.884,76,100,5.9
samarai,pg,-10.62,150.67,83.462,78,100,2.89
atuona,pf,-9.8,-139.03,82.472,68,51,4.68
mpongwe,zm,-13.51,28.16,66.542,97,100,0.46
ambilobe,mg,-13.2,49.05,83.246,77,100,4.99
caala,ao,-12.85,15.56,63.338,93,95,0.38
kirakira,sb,-10.45,161.92,81.626,81,78,4.57
ambanja,mg,-13.68,48.45,82.796,71,100,5.11
port keats,au,-14.25,129.55,93.992,45,36,3.43
asau,tv,46.43,26.4,37.922,93,40,1
sambava,mg,-14.27,50.17,76.442,93,100,1.48
vilhena,br,-12.74,-60.15,70.736,98,100,1.11
pampas,pe,-12.4,-74.9,42.44,92,97,0.94
camacupa,ao,-12.02,17.48,63.626,98,100,1.8
faanui,pf,-16.48,-151.75,83.102,79,89,7.16
sao miguel do araguaia,br,-13.28,-50.16,72.482,89,10,1.13
daru,pg,-9.08,143.21,86.342,72,75,2.69
gizo,sb,-8.1,156.84,82.202,79,23,5.61
riberalta,bo,-10.98,-66.1,74.84,87,100,0.85
kibala,ao,9.11,18.35,70.448,15,10,2.41
coruripe,br,-10.13,-36.18,80.438,72,93,3.59
muncar,id,-8.43,114.33,83.786,69,50,2.02
chicama,pe,-7.84,-79.15,71.6,88,40,3.6
luanda,ao,-8.84,13.23,80.6,88,40,2.1
kroya,id,-7.63,109.25,92.696,48,100,2.28
olinda,br,-8.01,-34.86,82.4,69,40,3.6
victoria,sc,22.29,114.16,74.3,53,27,1.5
chimbote,pe,-9.09,-78.58,73.382,79,86,2.34
alta floresta,br,-9.88,-56.09,71.978,99,100,1.81
lata,sb,40.16,-8.33,49.262,93,75,1
sechura,pe,-5.56,-80.82,74.768,87,18,2.79
pimentel,pe,-6.84,-79.93,75.2,73,2,5.7
buin,pg,-33.73,-70.75,66.2,63,43,3.6
auki,sb,-8.77,160.7,84.848,77,81,8.1
mataram,id,-8.58,116.12,87.8,70,75,4.1
kirando,tz,-7.42,30.6,73.634,86,100,4.51
chepen,pe,-7.22,-79.45,75.2,73,56,5.7
bulolo,pg,-7.2,146.65,84.272,51,100,1.68
omboue,ga,-1.57,9.26,77.324,94,66,0.19
kabinda,cd,-6.13,24.48,68.828,96,100,1.55
padang,id,-0.95,100.35,82.184,73,38,0.88
kabalo,cd,-6.05,26.92,70.664,94,100,0.84
pringsewu,id,-5.36,104.97,82.148,84,100,1.1
nisia floresta,br,-6.09,-35.21,75.2,94,40,4.6
mayumba,ga,-3.43,10.66,82.454,78,84,1.87
